heure,pseudo,contexte,composant,evenement
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:13,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:14,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:15,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:15,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:14:15,744,Cours: L3 MIAGE : Compilation (23-24),Système,Utilisateur inscrit dans un cours
2024-01-06 12:14:15,744,Cours: L3 MIAGE : Compilation (23-24),Système,Rôle attribué à un utilisateur
2024-01-06 12:17:46,425,Cours: L3 MIAGE : Compilation (23-24),Système,Cours consulté
2024-01-06 12:17:48,425,Cours: L3 MIAGE : Compilation (23-24),Système,Liste d’utilisateurs consultée
2024-01-06 12:17:59,425,Cours: L3 MIAGE : Compilation (23-24),Système,Liste d’utilisateurs consultée
2024-01-06 12:18:43,425,Cours: L3 MIAGE : Compilation (23-24),Système,Cours consulté
2024-01-06 12:18:44,425,Cours: L3 MIAGE : Compilation (23-24),Système,Liste d’utilisateurs consultée
2024-01-06 12:20:24,425,Cours: L3 MIAGE : Compilation (23-24),Système,Liste d’utilisateurs consultée
2024-01-06 12:20:33,425,Cours: L3 MIAGE : Compilation (23-24),Système,Liste d’utilisateurs consultée
2024-01-06 12:20:49,425,Cours: L3 MIAGE : Compilation (23-24),Système,Cours consulté
2024-01-06 12:20:50,425,Cours: L3 MIAGE : Compilation (23-24),Système,Liste d’utilisateurs consultée
2024-01-06 12:21:08,425,Cours: L3 MIAGE : Compilation (23-24),Système,Cours consulté
2024-01-06 12:21:10,425,Cours: L3 MIAGE : Compilation (23-24),Système,Liste d’utilisateurs consultée
2024-01-06 12:23:33,744,Cours: L3 MIAGE : Compilation (23-24),Système,Groupe créé
2024-01-06 12:23:36,744,Cours: L3 MIAGE : Compilation (23-24),Système,Groupe créé
2024-01-06 12:24:37,425,Cours: L3 MIAGE : Compilation (23-24),Système,Cours consulté
2024-01-06 12:24:43,425,Cours: L3 MIAGE : Compilation (23-24),Système,Liste d’utilisateurs consultée
2024-01-06 12:25:29,425,Cours: L3 MIAGE : Compilation (23-24),Système,Liste d’utilisateurs consultée
2024-01-06 12:27:56,425,Cours: L3 MIAGE : Compilation (23-24),Système,Cours consulté
2024-01-07 11:30:58,425,Cours: L3 MIAGE : Compilation (23-24),Système,Cours consulté
2024-01-07 11:31:31,425,Cours: L3 MIAGE : Compilation (23-24),Système,Cours consulté
2024-01-07 11:31:54,425,Cours: L3 MIAGE : Compilation (23-24),Système,Section de cours modifiée
2024-01-07 11:32:15,425,Cours: L3 MIAGE : Compilation (23-24),Système,Section de cours modifiée
2024-01-07 11:32:34,425,Cours: L3 MIAGE : Compilation (23-24),Système,Section de cours modifiée
